objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"¡Pingüinos!","8203","7.5","13","0","1","0","0","0","0","0","0","0","3","","","","","","93247940","6.57175","6.69876","1.4457","1151","30225","thing","Hey, That's My Fish!","2","4","20","20","20","2015","2,3,4","3","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Edge Entertainment","Spanish","2015","Edge Spanish edition 2015"
"1714: The Case of the Catalans","146228","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","84537882","5.68121","6.84318","2.7826","6683","534","thing","1714: The Case of the Catalans","2","5","120","120","120","2014","3,4,5","5","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"1923 Cotton Club","340790","8","3","0","1","0","0","0","0","0","0","0","3","","","","","","84388826","6.02095","7.43509","2.069","3043","2109","thing","1923 Cotton Club","2","4","60","60","45","2021","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"1998 ISS","367280","7.5","3","3","1","0","0","0","0","0","0","0","3","","","","","","95998792","5.85423","7.29549","2.8889","4219","1728","thing","1998 ISS","1","4","90","90","60","2022","1,2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"30 Monedas","327793","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136728390","5.6513","7.49791","3.08","7415","508","thing","30 Monedas","1","2","30","30","30","2021","1,2","1","","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"7 Wonders Duel","173346","8","7","0","1","0","0","0","0","0","0","0","3","","","","","","75939949","7.95376","8.07838","2.2273","24","183129","thing","7 Wonders Duel","2","2","30","30","30","2015","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"7 Wonders Duel: Pantheon","202976","8.5","0","0","1","0","0","0","0","0","0","0","3","","","","","","75939966","7.62374","7.99565","2.3121","0","50999","thing","7 Wonders Duel: Pantheon","2","2","30","30","30","2016","2","2","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"7 Wonders Duel: Solo","310215","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","121318046","5.90739","7.66152","2.2593","0","1727","thing","7 Wonders Duel: Solo","1","1","15","15","15","2020","1","1","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Acquire","5","8.5","2","0","1","0","0","0","0","0","0","0","3","","","","","","93721636","7.12871","7.35621","2.4885","360","30039","thing","Acquire","2","6","90","90","90","1963","3,4,5,6","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"After the Virus","232361","9","20","0","1","0","0","0","0","0","0","0","3","","","","","","102114336","6.378","7.30423","2.3333","1627","5146","thing","After the Virus","1","3","90","90","30","2017","1,2","1","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"After the Virus: The Long Cold","371562","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","102114349","5.66237","7.67623","2.6667","0","1488","thing","After the Virus: The Long Cold","1","3","60","60","20","2022","1,2","1","10+","","","","","","","expansion","","","","","","","","","","","","","","",""
"Agropolis","314088","8.5","7","0","1","0","0","0","0","0","0","0","3","","","","","","92128803","6.44918","7.24332","1.7571","1440","9189","thing","Agropolis","1","4","20","20","15","2021","1,2","1","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Air, Land, & Sea","247367","7.5","1","0","1","0","0","0","0","0","0","0","3","","","","","","79379023","7.07066","7.44245","1.7436","417","20981","thing","Air, Land, & Sea","2","2","20","20","20","2019","2","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Akrotiri","154458","8","1","0","1","0","0","0","0","0","0","0","3","","","","","","84349452","6.60434","7.15126","2.6382","1084","8248","thing","Akrotiri","2","2","45","45","45","2014","2","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Animagicians","221982","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","92395538","5.52518","7.27273","2","17719","115","thing","Animagicians","1","6","30","30","15","2017","1,2,3,4,5,6","1,3,4,5,6","","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Aqualin","295948","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","119554481","6.15251","6.94147","1.5246","2400","4362","thing","Aqualin","2","2","20","20","20","2020","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Arcs","359871","9","8","4","1","0","0","0","0","0","0","0","3","","","","","","104806607","7.58557","8.01358","3.4348","102","28311","thing","Arcs","2","4","120","120","60","2024","2,3,4","3,4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Arcs: Leaders & Lore Pack","419279","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","134576967","6.6307","8.56748","3.2632","0","10360","thing","Arcs: Leaders & Lore Pack","2","4","120","120","60","2024","2,3,4","3","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Ark Nova","342942","9.5","9","4","1","0","0","0","0","0","0","0","3","","","","","","89006276","8.35573","8.54159","3.7966","2","87715","thing","Ark Nova","1","4","150","150","90","2021","1,2,3","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Ark Nova: Marine Worlds","368966","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117426089","8.02004","8.91272","3.8444","0","27070","thing","Ark Nova: Marine Worlds","1","4","150","150","90","2023","1,2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"At the Office","396649","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","124349777","5.56152","6.33889","1.125","11975","319","thing","At the Office","2","4","30","30","20","2023","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Azul","230802","8","8","0","1","0","0","0","0","0","0","0","3","","","","","","98880834","7.60712","7.7169","1.7749","97","181793","thing","Azul","2","4","45","45","30","2017","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Balloon Cup","5716","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","112018419","6.34254","6.67835","1.46","1714","6568","thing","Balloon Cup","2","2","30","30","30","2003","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"BANG! The Bullet!","30933","6.5","0","0","1","0","0","0","0","0","0","0","3","","","","","","75939792","6.53603","6.91956","1.8476","0","17302","thing","BANG! The Bullet!","3","8","40","40","20","2007","4,5,6,7,8","6,7","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Battle Line","760","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","113454454","7.16952","7.41263","1.8879","329","22488","thing","Battle Line","2","2","30","30","30","2000","2","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"The Battle of Five Armies","135219","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","87463808","6.78437","7.82606","3.6074","773","7606","thing","The Battle of Five Armies","2","2","240","240","90","2014","2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"The Battle of Versailles","379959","9","8","0","1","0","0","0","0","0","0","0","3","","","","","","103309939","5.86485","7.38764","2.625","4132","1473","thing","The Battle of Versailles","2","2","45","45","30","2024","2","2","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Big City","70","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117492198","6.19162","6.84577","2.2159","2254","2809","thing","Big City","2","5","60","60","60","1999","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
